id,severity,title,description,iacontrols,ruleID,fixid,fixtext,checkid,checktext
V-763,medium,"The Department of Defense (DoD) login banner must be displayed immediately prior to, or as part of, console login prompts.",Failure to display the login banner prior to a logon attempt will negate legal proceedings resulting from unauthorized access to system resources.,['ECWM-1'],SV-763r2_rule,F-25866r1_fix,"Configure the system to display one of the DoD login banners (based on the character limitations imposed by the system) prior to any local login attempt.

DoD Login Banners:

You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:

-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.

-At any time, the USG may inspect and seize data stored on this IS.

-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.

-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.

-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details. 

OR

I've read & consent to terms in IS user agreem't.   ",C-28845r1_chk,"Access the system console and make a logon attempt. Check for either of the following login banners based on the character limitations imposed by the system. An exact match is required. If one of these banners is not displayed, this is a finding.

""You are accessing a U.S. Government (USG) Information System (IS) that is provided for USG-authorized use only.

By using this IS (which includes any device attached to this IS), you consent to the following conditions:

-The USG routinely intercepts and monitors communications on this IS for purposes including, but not limited to, penetration testing, COMSEC monitoring, network operations and defense, personnel misconduct (PM), law enforcement (LE), and counterintelligence (CI) investigations.

-At any time, the USG may inspect and seize data stored on this IS.

-Communications using, or data stored on, this IS are not private, are subject to routine monitoring, interception, and search, and may be disclosed or used for any USG-authorized purpose.

-This IS includes security measures (e.g., authentication and access controls) to protect USG interests--not for your personal benefit or privacy.

-Notwithstanding the above, using this IS does not constitute consent to PM, LE or CI investigative searching or monitoring of the content of privileged communications, or work product, related to personal representation or services by attorneys, psychotherapists, or clergy, and their assistants. Such communications and work product are private and confidential. See User Agreement for details. ""

OR

""I've read & consent to terms in IS user agreem't."""
V-762,medium,All accounts must be assigned unique User Identification Numbers (UIDs).,"Accounts sharing a UID have full access to each others' files.  This has the same effect as sharing a login.  There is no way to assure identification, authentication, and accountability because the system sees them as the same user. If the duplicate UID is 0, this gives potential intruders another privileged account to attack.","['IAIA-1', 'IAIA-2']",SV-762r2_rule,F-24344r1_fix,Edit user accounts to provide unique UIDs for each account.,C-27981r1_chk,"List any duplicate UIDs in /etc/passwd:
# cut -d':' -f3 /etc/passwd | uniq -d
This will show one copy of each duplicate UID."
V-22473,low,The SSH daemon must not permit GSSAPI authentication unless needed.,"GSSAPI authentication is used to provide additional authentication mechanisms to applications. Allowing GSSAPI authentication through SSH exposes the system’s GSSAPI to remote hosts, increasing the attack surface of the system.  GSSAPI authentication must be disabled unless needed.",['ECSC-1'],SV-26766r1_rule,F-24016r1_fix,Edit the SSH daemon configuration and set (add if necessary) a GSSAPIAuthentication directive set to no.,C-27775r1_chk,"Ask the SA if GSSAPI authentication is used for SSH authentication to the system.  If so, this is not applicable.

Check the SSH daemon configuration for the GSSAPI authentication setting.
# grep -i GSSAPIAuthentication /etc/ssh/sshd_config | grep -v '^#' 
If no lines are returned, or the setting is set to yes, this is a finding."
V-22472,medium,The SSH private host key files must have mode 0600 or less permissive.,"If an unauthorized user obtains the private SSH host key file, the host could be impersonated.",['ECLP-1'],SV-26765r1_rule,F-24015r1_fix,"Change the permissions for the SSH private host key files.
# chmod 0600 /etc/ssh/*key",C-27774r1_chk,"Check the permissions for SSH private host key files.
# ls -lL /etc/ssh/*key
If any file has a mode more permissive than 0600, this is a finding."
V-22471,medium,The SSH public host key files must have mode 0644 or less permissive.,"If a public host key file is modified by an unauthorized user, the SSH service may be compromised.",['ECLP-1'],SV-26764r1_rule,F-24014r1_fix,"Change the permissions for the SSH public host key files.
# chmod 0644 /etc/ssh/*key.pub",C-27773r1_chk,"Check the permissions for SSH public host key files.
# ls -lL /etc/ssh/*key.pub
If any file has a mode more permissive than 0644, this is a finding."
V-22470,medium,The SSH daemon must restrict login ability to specific users and/or groups.,"Restricting SSH logins to a limited group of users, such as system administrators, prevents password-guessing and other SSH attacks from reaching system accounts and other accounts not authorized for SSH access.",['ECLP-1'],SV-26763r1_rule,F-24013r1_fix,Edit the SSH daemon configuration and add an AllowGroups directive.,C-27772r1_chk,"Check the SSH daemon configuration for the AllowGroups setting.
# grep -i AllowGroups /etc/ssh/sshd_config | grep -v '^#' 
If no lines are returned, this is a finding."
V-22477,low,The SSH daemon must not accept environment variables from the client or must only accept those pertaining to locale.,"Environment variables can be used to change the behavior of remote sessions and should be limited.  Locale environment variables specify the language, character set, and other features modifying the operation of software to match the user's preferences.",['ECSC-1'],SV-26771r1_rule,F-24020r1_fix,Edit the SSH daemon configuration and remove (or edit) the AcceptEnv setting(s) to only accept LOCALE or LC_* environment variables.,C-27778r1_chk,"Check the SSH daemon configuration for the AcceptEnv setting.
# grep -i AcceptEnv /etc/ssh/sshd_config | grep -v '^#' 
If any line is returned other than those permitting LOCALE or LC_* environment variables, this is a finding."
V-22475,low,The SSH daemon must not permit Kerberos authentication unless needed.,"Kerberos authentication for SSH is often implemented using GSSAPI.  If Kerberos is enabled through SSH, the SSH daemon provides a means of access to the system's Kerberos implementation.  Vulnerabilities in the system's Kerberos implementation may then be subject to exploitation.  To reduce the attack surface of the system, the Kerberos authentication mechanism within SSH must be disabled for systems not using this capability.
",['ECSC-1'],SV-26768r1_rule,F-24019r1_fix,Edit the SSH daemon configuration and set (add if necessary) a KerberosAuthentication directive set to no.,C-27777r1_chk,"Ask the SA if Kerberos authentication is used by the system.  If it is, this is not applicable.

Check the SSH daemon configuration for the Kerberos authentication setting.
# grep -i KerberosAuthentication /etc/ssh/sshd_config | grep -v '^#' 
If no lines are returned, or the setting is set to yes, this is a finding."
V-22474,low,The SSH client must not permit GSSAPI authentication unless needed.,"GSSAPI authentication is used to provide additional authentication mechanisms to applications. Allowing GSSAPI authentication through SSH exposes the system’s GSSAPI to remote hosts, increasing the attack surface of the system.  GSSAPI authentication must be disabled unless needed.",['ECSC-1'],SV-26767r1_rule,F-24017r1_fix,Edit the SSH client configuration and set (add if necessary) a  GSSAPIAuthentication directive set to no.,C-27776r1_chk,"Check the SSH clients configuration for the GSSAPI authentication setting.
# grep -i GSSAPIAuthentication /etc/ssh/ssh_config | grep -v '^#' 
If no lines are returned, or the setting is set to yes, this is a finding."
V-12030,medium,The system's access control program must be configured to grant or deny system access to specific hosts.,"If the system's access control program is not configured with appropriate rules for allowing and denying access to system network resources, services may be accessible to unauthorized hosts.","['ECCD-1', 'ECCD-2', 'ECSC-1']",SV-12531r2_rule,F-11287r2_fix,"Edit the /etc/hosts.allow and /etc/hosts.deny files to configure access restrictions.
",C-7993r2_chk,"Check for the existence of the /etc/hosts.allow and /etc/hosts.deny files.

Procedure:
# ls -la /etc/hosts.allow
# ls -la /etc/hosts.deny

If either file does not exist, this is a finding.

Check for the presence of a default deny entry.

Procedure:
# grep ""ALL: ALL"" /etc/hosts.deny

If the ""ALL: ALL"" entry is not present in the /etc/hosts.deny file, any TCP service from a host or network not matching other rules will be allowed access.  If the entry is not in /etc/hosts.deny, this is a finding."
V-22573,medium,"If the system is using LDAP for authentication or account information, the LDAP TLS key file must have mode 0600 or less permissive.","LDAP can be used to provide user authentication and account information, which are vital to system security.  The LDAP client configuration must be protected from unauthorized modification.

NOTE:  Depending on the particular implementation, group and other read permission may be necessary for unprivileged users to successfully resolve account information using LDAP.  This will still be a finding, as these permissions provide users with access to system authenticators.",['ECLP-1'],SV-26960r1_rule,F-24222r1_fix,"Change the mode of the file.
# chmod 0600 <keypath>",C-27907r1_chk,"Determine the key file.
# grep -i '^tls_key' /etc/ldap.conf
Check the permissions.
# ls -lL <keypath>
If the mode of the file is more permissive than 0600, this is a finding."
V-22479,low,The SSH daemon must not permit user environment settings.,"SSH may be used to provide limited functions other than an interactive shell session, such as file transfer.  If local, user-defined environment settings (such as, those configured in ~/.ssh/authorized_keys and ~/.ssh/environment) are configured by the user and permitted by the SSH daemon, they could be used to alter the behavior of the limited functions, potentially granting unauthorized access to the system.",['ECSC-1'],SV-26773r1_rule,F-24023r1_fix,Edit the SSH daemon configuration and edit (or add) the PermitUserEnvironment setting with a value of no.,C-27781r1_chk,"Check the PermitUserEnvironment setting in the SSH daemon configuration.

Procedure:
# grep -i PermitUserEnvironment sshd_config

If the setting is not present or set to a value other than no, this is a finding."
V-22478,low,The SSH client must not send environment variables to the server or must only send those pertaining to locale.,"Environment variables can be used to change the behavior of remote sessions and should be limited.  Locale environment variables specify the language, character set, and other features modifying the operation of software to match the user's preferences.",['ECSC-1'],SV-26772r1_rule,F-24022r1_fix,Edit the SSH client configuration and remove (or edit) the SendEnv setting(s) to only accept LOCALE or LC_* environment variables.,C-27780r1_chk,"Check the SSH client configuration for the SendEnv setting.
# grep -i SendEnv /etc/ssh/ssh_config | grep -v '^#' 
If any line is returned other than those permitting LOCALE or LC_* environment variables, this is a finding."
V-22576,low,The system must use available memory address randomization techniques.,Successful exploitation of buffer overflow vulnerabilities relies in some measure to having a predictable address structure of the executing program. Address randomization techniques reduce the probability of a successful exploit.,['ECSC-1'],SV-26251r1_rule,F-26348r1_fix,Configure the system to use any available memory address randomization techniques.   ,C-29316r1_chk,"Determine if the system is configured to use any available memory address randomization techniques. If it is not, this is a finding."
V-22577,low,Automated file system mounting tools must not be enabled unless needed.,"Automated file system mounting tools may provide unprivileged users with the ability to access local media and network shares.  If this access is not necessary for the system’s operation, it must be disabled to reduce the risk of unauthorized access to these resources.",['ECSC-1'],SV-26252r1_rule,F-26145r1_fix,Disable the automated file system mounting tools.,C-29138r1_chk,"Determine if the system uses automated file system mounting tools (such as autofs or automount).  If it does, this is a finding."
V-22574,medium,"If the system is using LDAP for authentication or account information, the LDAP TLS key file must not have an extended ACL.","LDAP can be used to provide user authentication and account information, which are vital to system security.  The LDAP client configuration must be protected from unauthorized modification.",['ECLP-1'],SV-26961r1_rule,F-24223r1_fix,Remove the extended ACL from the key file.,C-27908r1_chk,"Determine the key file.
# grep -i '^tls_key' /etc/ldap.conf
Check the permissions.
# ls -lL <keypath>
If the permissions of the file contains a ""+"", an extended ACL is present, this is a finding."
V-22575,medium,A root kit check tool must be run on the system at least weekly.,Root kits are software packages designed to conceal the compromise of a system from the SA. Root kit checking tools examine a system for evidence that a root kit is installed. Dedicated root kit detection software or root kit detection capabilities included in anti-virus packages may be used to satisfy this requirement.,['DCSL-1'],SV-26250r1_rule,F-26347r1_fix,Create an automated job or establish a site-defined procedure to check the system weekly with a root kit check tool.   ,C-29315r1_chk,"Ask the SA if a root kit check tool is run on the system weekly. If this is not performed, this is a finding."
V-1046,high,Root passwords must never be passed over a network in clear text form.,"If a user accesses the root account (or any account) using an unencrypted connection, the password is passed over the network in clear text form and is subject to interception and misuse.  This is true even if recommended procedures are followed by logging on to a named account and using the su command to access root.","['ECNK-1', 'ECNK-2', 'IAIA-1', 'IAIA-2']",SV-1046r2_rule,F-1200r2_fix,Enable SSH on the system and use it for all remote connections used to attain root access.,C-891r2_chk,"Determine if root has logged in over an unencrypted network connection.

First, determine if root has logged in over a network.
Procedure:
# last | grep ""^root "" | egrep -v ""reboot|console"" | more

Next, determine if the SSH daemon is running.
Procedure:
# ps -ef |grep sshd

If root has logged in over the network and SSHD is not running, this is a finding.
"
V-4387,high,Anonymous FTP accounts must not have a functional shell.,"If an anonymous FTP account has been configured to use a functional shell, attackers could gain access to the shell if the account is compromised.","['ECCD-1', 'ECCD-2']",SV-4387r2_rule,F-4298r2_fix,"Configure anonymous FTP accounts to use a non-functional shell. If necessary, edit the /etc/passwd file to remove any functioning shells associated with the FTP account and replace them with non-functioning shells, such as, /dev/null.   ",C-8269r2_chk,"Check the shell for the anonymous FTP account.

Procedure:
# grep ""^ftp"" /etc/passwd

This is a finding if the seventh field is empty (the entry ends with a ':') or if the seventh field does not contain one of the following.

/bin/false
/dev/null
/usr/bin/false
/bin/true
/sbin/nologin"
V-4384,low,The SMTP service's SMTP greeting must not provide version information.,The version of the SMTP service can be used by attackers to plan an attack based on vulnerabilities present in the specific version.,['ECSC-1'],SV-4384r2_rule,F-4295r2_fix,"Ensure Sendmail or its equivalent has been configured to mask the version information.  If necessary, change the O SmtpGreetingMessage line in the /etc/mail/sendmail.cf file as noted below.
    O SmtpGreetingMessage=$j Sendmail $v/$Z; $b
Change it to:
    O SmtpGreetingMessage= Mail Server Ready ; $b",C-8267r2_chk,"Check for the Sendmail version being displayed in the greeting.

# telnet localhost 25

If a version number is displayed, this is a finding."
V-4385,medium,The system must not use .forward files.,The .forward file allows users to automatically forward mail to another system. Use of .forward files could allow the unauthorized forwarding of mail and could potentially create mail loops which could degrade system performance.,['ECSC-1'],SV-4385r2_rule,F-4296r2_fix,Remove .forward files from the system.,C-8268r2_chk,"Search for any .forward files on the system.

# find / -name .forward -print

This is considered a finding if any .forward files are found on the system."
V-4382,high,"Administrative accounts must not run a web browser, except as needed for local service administration.","If a web browser flaw is exploited while running as a privileged user, the entire system could be compromised.

Specific exceptions for local service administration should be documented in site-defined policy.  These exceptions may include HTTP(S)-based tools used for the administration of the local system, services, or attached devices.  Examples of possible exceptions are HP’s System Management Homepage (SMH), the CUPS administrative interface, and Sun's StorageTek Common Array Manager (CAM) when these services are running on the local system.",['ECLP-1'],SV-4382r2_rule,F-4293r2_fix,Enforce policy requiring administrative accounts use web browsers only for local service administration.,C-8266r2_chk,"Look in the root account home directory for a .netscape  or a .mozilla directory.  If none exists, this is not a finding.  If there is one, verify with the root users and the IAO what the intent of the browsing is.  Some evidence may be obtained by using the browser to view cached pages under the .netscape directory."
V-4388,medium,The anonymous FTP account must be configured to use chroot or a similarly isolated environment.,"If an anonymous FTP account does not use a chroot or similarly isolated environment,  the system may be more vulnerable to exploits against the FTP service.  Such exploits could allow an attacker to gain shell access to the system and view, edit, or remove sensitive files.",['ECSC-1'],SV-4388r2_rule,F-4299r2_fix,Configure the anonymous FTP service to operate in a chroot environment.  Consult vendor documentation for the necessary configuration procedures.,C-8270r2_chk,"Consult vendor documentation for the anonymous FTP service to determine the necessary configuration for operating the service in a chroot environment. If the system is not configured to operate the anonymous FTP service in a chroot environment, this is a finding."
V-22340,medium,The /etc/shadow file must not have an extended ACL.,The /etc/shadow file contains the list of local system accounts.  It is vital to system security and must be protected from unauthorized modification.  The file also contains password hashes which must not be accessible to users other than root.,['ECLP-1'],SV-25987r1_rule,F-26193r1_fix,Remove the extended ACL from the /etc/shadow file.,C-27512r1_chk,"Verify /etc/shadow has no extended ACL.
# ls -lL /etc/shadow

If the permissions include a '+', the file has an extended ACL, this is a finding.

If the /etc/shadow file does not exist and the system is in Trusted Mode, this is not a finding. Verify Trusted Mode:
# ls -lLR /tcb/files/auth/<a-z,A-Z>
 
The TCB file(s) should exist and should not have an extended ACL."
V-22370,low,System audit tool executables must be owned by root.,"To prevent unauthorized access or manipulation of system audit logs, the tools for manipulating those logs must be protected.",['ECLP-1'],SV-26017r1_rule,F-26223r1_fix,Change the owner of the system audit tool executables to root.,C-29201r1_chk,"Determine if the system audit tool executables are owned by root.  If any are not, this is a finding."
V-22371,low,"System audit tool executables must be group-owned by root, bin, sys, or system.","To prevent unauthorized access or manipulation of system audit logs, the tools for manipulating those logs must be protected.",['ECLP-1'],SV-26018r1_rule,F-26224r1_fix,"Change the group owner of system audit tool executables to root, bin, sys, or system.

Procedure:
# chgrp system < system audit tool executable>",C-29202r1_chk,"Determine the group ownership of system audit tool executables.

Procedure:
# ls -lL <audit tool executable>

If any system audit tool executable is not group-owned by root, bin, sys, or system, this is a finding."
V-22372,low,System audit tool executables must have mode 0750 or less permissive.,"To prevent unauthorized access or manipulation of system audit logs, the tools for manipulating those logs must be protected.",['ECLP-1'],SV-26019r1_rule,F-26225r1_fix,Change the mode of system audit tool executables to 0750.,C-29204r1_chk,"Determine if system audit tool executables have a mode more permissive than 0750.  If any do, this is a finding."
V-22373,low,System audit tool executables must not have extended ACLs.,"To prevent unauthorized access or manipulation of system audit logs, the tools for manipulating those logs must be protected.",['ECLP-1'],SV-26020r1_rule,F-26226r1_fix,Remove the extended ACL from the system audit tool executable(s).,C-29205r1_chk,"Determine if system audit tool executables have extended ACLs.  If any do, this is a finding."
V-22374,low,The audit system must alert the SA in the event of an audit processing failure.,"An accurate and current audit trail is essential for maintaining 
a record of system activity. If the system fails, the SA must be notified and must take prompt 
action to correct the problem.

Minimally, the system must log this event and the SA will receive this notification during the 
daily system log review. If feasible, active alerting (such as email or paging) should be 
employed consistent with the site’s established operations management systems and procedures.
",['ECAT-1'],SV-26021r1_rule,F-26227r1_fix,Configure the audit system to alert the SA in the event of an audit processing failure.,C-29207r1_chk,"Determine if the audit system is configured to alert the SA in the event of an audit processing failure. If it is not, this is a finding."
V-22375,medium,The audit system must alert the SA when the audit storage volume approaches its capacity.,"An accurate and current audit trail is essential for maintaining a record of system activity.  If the system fails, the SA must be notified and must take prompt action to correct the problem.

Minimally, the system must log this event and the SA will receive this notification during the daily system log review.  If feasible, active alerting (such as email or paging) should be employed consistent with the site’s established operations management systems and procedures.",['ECSC-1'],SV-26022r1_rule,F-26228r1_fix,Configure the audit system to alert the SA when the audit storage volume approaches capacity.,C-29208r1_chk,"Determine if the audit system is configured to alert the SA when the audit storage volume approaches capacity.  If it does not, this is a finding."
V-22376,low,The audit system must be configured to audit account creation.,"If the system is not configured to audit certain activities and write them to an audit log, it is more difficult to detect and track system compromises, and damages incurred during a system compromise.",['ECAT-1'],SV-26023r1_rule,F-26229r1_fix,Configure the audit system to audit account creation.,C-29209r1_chk,"Determine if the audit system is configured to audit account creation.  If it is not, this is a finding."
V-22377,low,The audit system must be configured to audit account modification.,"If the system is not configured to audit certain activities and write them to an audit log, it is more difficult to detect and track system compromises and damages incurred during a system compromise.",['ECAT-1'],SV-26024r1_rule,F-26230r1_fix,Configure the system to audit account modification.,C-29210r1_chk,"Determine if the audit system is configured to audit account modification.  If it is not, this is a finding."
V-22378,low,The audit system must be configured to audit account disabling.,"If the system is not configured to audit certain activities and write them to an audit log, it is more difficult to detect and track system compromises and damages incurred during a system compromise.",['ECAT-1'],SV-26025r1_rule,F-26231r1_fix,Configure the system to audit account disabling.,C-29211r1_chk,"Determine if the system is configured to audit account disabling.  If not, this is a finding."
V-22509,low,The file integrity tool must use FIPS 140-2 approved cryptographic hashes for validating file contents.,File integrity tools often use cryptographic hashes for verifying that file contents have not been altered.  These hashes must be FIPS 140-2 approved.,['ECSC-1'],SV-26861r1_rule,F-24103r2_fix,"If using AIDE, edit the configuration and add the sha256 or sha512 option for all monitored files and directories.

If using a different file integrity tool, configure FIPS 140-2 approved cryptographic hashes per the tool's documentation.",C-27831r2_chk,"If using AIDE, verify the configuration contains the sha256 or sha512 options for all monitored files and directories.  Here is an example AIDE configuration fragment.

SampleRule = p+i+l+n+u+g+s+m+c+acl+xattrs+sha256
/bin SampleRule

If either the sha256 or sha512 option is not present, this is a finding.

If using a different file integrity tool, check the configuration per tool documentation."
V-22508,low,The file integrity tool must be configured to verify extended attributes.,Extended attributes in file systems are used to contain arbitrary data and file metadata with security implications.,['ECAT-1'],SV-26860r1_rule,F-24102r1_fix,"If using AIDE, edit the configuration and add the xattrs option for all monitored files and directories.

If using a different file integrity tool, configure extended attributes checking per the tool's documentation.",C-27830r2_chk,"If using AIDE, verify the configuration contains the xattrs option for all monitored files and directories.  Here is an example AIDE configuration fragment.

SampleRule = p+i+l+n+u+g+s+m+c+acl+xattrs+sha256
/bin SampleRule

If the xattrs option is not present, this is a finding.

If using a different file integrity tool, check the configuration per tool documentation."
V-22507,low,The file integrity tool must be configured to verify ACLs.,ACLs can provide permissions beyond those permitted through the file mode and must be verified by file integrity tools.,['ECAT-1'],SV-26858r1_rule,F-24101r1_fix,"If using AIDE, edit the configuration and add the acl option for all monitored files and directories.

If using a different file integrity tool, configure ACL checking per the tool's documentation.",C-27829r2_chk,"If using AIDE, verify the configuration contains the acl option for all monitored files and directories.  Here is an example AIDE configuration fragment.

SampleRule = p+i+l+n+u+g+s+m+c+acl+xattrs+sha256
/bin SampleRule

If the acl option is not present, this is a finding.

If using a different file integrity tool, check the configuration per tool documentation."
V-22506,medium,The system package management tool must be used to verify system software periodically.,"Verification using the system package management tool can be used to determine that system software has not been tampered with.

This requirement is not applicable to systems that do not use package management tools.",['ECAT-1'],SV-26181r1_rule,F-26312r1_fix,Add a job to the root crontab that invokes the system package management tool to verify the integrity of installed packages.,C-29280r1_chk,"Check the root crontab for a job invoking the system package management tool to verify the integrity of installed packages.  If no such job exists, this is a finding."
